,Unnamed: 0,사업장명,업태구분명,소재지전화,소재지전체주소,도로명전체주소,좌표정보(x),좌표정보(y),영업상태명,naver_map_url,구,동,검색어,검색어2,naver_map_url_df1
1176,176,돈까스예찬,분식,051-8084448,부산광역시 부산진구 부전동 242-7 지상1층,"부산광역시 부산진구 서면로68번길 44, 지상1층 (부전동)",387479.193924854,185919.93010461,영업/정상,,부산진구,부전동,부전동 돈까스예찬,부전동 돈까스예찬 051-8084448,
1177,177,통영이야기,한식,051-897-0242,부산광역시 부산진구 개금동 447-7번지 외 2필지,"부산광역시 부산진구 백양대로 310, 지상1층 (개금동)",383771.249248061,185777.614133389,영업/정상,,부산진구,개금동,개금동 통영이야기,개금동 통영이야기 051-897-0242,
1180,180,중앙밀면,분식,051-632-5878,부산광역시 부산진구 범천동 846-11번지 1층,"부산광역시 부산진구 범일로 150-8, 1층 (범천동)",387645.643457106,184631.997792293,영업/정상,,부산진구,범천동,범천동 중앙밀면,범천동 중앙밀면 051-632-5878,
1181,181,범내골돼지꼬리,식육(숯불구이),051-632-5192,부산광역시 부산진구 범천동 859-14번지,"부산광역시 부산진구 중앙대로644번길 80, 1층 (범천동)",387882.255071655,185225.173883363,영업/정상,,부산진구,범천동,범천동 범내골돼지꼬리,범천동 범내골돼지꼬리 051-632-5192,
1183,183,덕이네 집밥,한식,070-73947468,부산광역시 부산진구 당감동 93-8,"부산광역시 부산진구 가야대로703번나길 34, 1층 (당감동)",386418.083423402,186208.734327056,영업/정상,,부산진구,당감동,당감동 덕이네 집밥,당감동 덕이네 집밥 070-73947468,
1184,184,차이향,중국식,051-893-2008,부산광역시 부산진구 가야동 464-28번지 1층,"부산광역시 부산진구 엄광로 184, 1층 (가야동)",385341.529078221,185066.389989692,영업/정상,https://pcmap.place.naver.com/restaurant/34495076/review/visitor#,부산진구,가야동,가야동 차이향,가야동 차이향 051-893-2008,
1186,186,유니크스테이,경양식,051-809-1779,부산광역시 부산진구 부전동 513-5번지,"부산광역시 부산진구 부전로 59, 지상1층 (부전동)",387159.591895372,185951.609630456,영업/정상,,부산진구,부전동,부전동 유니크스테이,부전동 유니크스테이 051-809-1779,
1187,187,송하,기타,051-896-9283,부산광역시 부산진구 개금동 57 우성아파트(상가동),"부산광역시 부산진구 백양대로208번길 38-9, 우성아파트(상가동) 1층 5호 (개금동)",384741.016804634,186563.406585561,영업/정상,https://pcmap.place.naver.com/restaurant/1596469212/review/visitor#,부산진구,개금동,개금동 송하,개금동 송하 051-896-9283,
1188,188,웰빙돈오리,한식,051-897-5282,부산광역시 부산진구 당감동 791 국제백양아파트상가동3층7호,"부산광역시 부산진구 백양관문로 104-1, 상가동 3층 7호 (당감동, 국제백양아파트)",384741.923372529,187364.899359566,영업/정상,,부산진구,당감동,당감동 웰빙돈오리,당감동 웰빙돈오리 051-897-5282,
1189,189,해촌산오징어물회,기타,051-818-3339,부산광역시 부산진구 부암동 500번지 화승삼성아파트상가 22동 102호,"부산광역시 부산진구 당감로 79, 22동 102호 (부암동, 화승삼성아파트상가)",385570.015221682,187424.7082035,영업/정상,,부산진구,부암동,부암동 해촌산오징어물회,부암동 해촌산오징어물회 051-818-3339,
1190,190,식력,기타,051-817-3108,부산광역시 부산진구 전포동 684-4 1층,"부산광역시 부산진구 전포대로209번길 39-9, 1층 (전포동)",387923.395302579,185936.772649001,영업/정상,https://pcmap.place.naver.com/restaurant/30995577/review/visitor#,부산진구,전포동,전포동 식력,전포동 식력 051-817-3108,
1191,191,부산꼼장어,한식,051-894-3827,부산광역시 부산진구 개금동 177-208 지상1층일부,"부산광역시 부산진구 복지로13번길 65 (개금동, 지상1층일부)",384358.573125891,185536.337885728,영업/정상,https://pcmap.place.naver.com/restaurant/16419554/review/visitor#,부산진구,개금동,개금동 부산꼼장어,개금동 부산꼼장어 051-894-3827,
1193,193,예향정부산시청점,한식,051-861-3478,부산광역시 부산진구 양정동 236-5 지상2층전체,"부산광역시 부산진구 진연로 13 (양정동, 지상2층전체)",388845.942783781,188577.168468519,영업/정상,,부산진구,양정동,양정동 예향정부산시청점,양정동 예향정부산시청점 051-861-3478,
1194,194,1985 고성댁,한식,051-8935974,부산광역시 부산진구 가야동 502-1,"부산광역시 부산진구 가야공원로 47, 1층 (가야동)",384937.504251007,185209.455389963,영업/정상,,부산진구,가야동,가야동 1985 고성댁,가야동 1985 고성댁 051-8935974,
1195,195,킹스타,경양식,051-808-9066,부산광역시 부산진구 전포동 878-15번지 1층,"부산광역시 부산진구 동성로 149, 1층 (전포동)",387890.230828618,186622.092859162,영업/정상,,부산진구,전포동,전포동 킹스타,전포동 킹스타 051-808-9066,
1199,199,BBQ치킨당감점,한식,051-897-4007,부산광역시 부산진구 당감동 379-35 지상1층전체,"부산광역시 부산진구 당감서로 41 (당감동, 지상1층전체)",385501.275543241,186895.643219391,영업/정상,,부산진구,당감동,당감동 BBQ치킨당감점,당감동 BBQ치킨당감점 051-897-4007,
1200,200,레전드야구존(서면점),경양식,080-070-8888,부산광역시 부산진구 부전동 240-1 지상5층,"부산광역시 부산진구 신천대로62번길 77, 지상5층 (부전동)",387482.099729683,185834.748449769,영업/정상,https://pcmap.place.naver.com/restaurant/1883396148/review/visitor#,부산진구,부전동,부전동 레전드야구존(서면점),부전동 레전드야구존(서면점) 080-070-8888,
1203,203,코코쿡&샤브 금융단지점,한식,051-634-9510,부산광역시 부산진구 범천동 842-8,"부산광역시 부산진구 중앙번영로 32, 2층 (범천동)",387906.942826268,184774.239301044,영업/정상,,부산진구,범천동,범천동 코코쿡&샤브 금융단지점,범천동 코코쿡&샤브 금융단지점 051-634-9510,
1204,204,고등어와보리밥,한식,051-868-6481,부산광역시 부산진구 양정동 254-6번지 지상1층전체,"부산광역시 부산진구 거제천로40번길 7, 1층 (양정동)",388688.026404256,188520.647993368,영업/정상,https://pcmap.place.naver.com/restaurant/1801308745/review/visitor#,부산진구,양정동,양정동 고등어와보리밥,양정동 고등어와보리밥 051-868-6481,
1206,206,스테레오타입오브부산(stereotype of busan),호프/통닭,051-804-6365,부산광역시 부산진구 전포동 686-4번지,"부산광역시 부산진구 서전로46번길 64, 1층 (전포동)",388057.552796306,185916.368153169,영업/정상,,부산진구,전포동,전포동 스테레오타입오브부산(stereotype of busan),전포동 스테레오타입오브부산(stereotype of busan) 051-804-6365,
1208,208,웰빙보쌈족발oh,한식,051-806-9557,부산광역시 부산진구 전포동 591-1번지 한울트라움,"부산광역시 부산진구 전포대로275번길 13, 2층 (전포동, 한울트라움)",388040.85472594,186622.873971022,영업/정상,,부산진구,전포동,전포동 웰빙보쌈족발oh,전포동 웰빙보쌈족발oh 051-806-9557,
1209,209,플라스티카(PLASTICA),기타,051-802-1063,부산광역시 부산진구 전포동 207-54,"부산광역시 부산진구 전포대로224번길 7, 1층 (전포동)",388184.404721375,186112.537897076,영업/정상,https://pcmap.place.naver.com/restaurant/37334174/review/visitor#,부산진구,전포동,전포동 플라스티카(PLASTICA),전포동 플라스티카(PLASTICA) 051-802-1063,
1210,210,매운명태밥상,호프/통닭,051-817-2517,부산광역시 부산진구 초읍동 206-64번지 지상1층일부,"부산광역시 부산진구 성지로83번길 10 (초읍동, 지상1층일부)",386955.963695079,188439.929829188,영업/정상,https://pcmap.place.naver.com/restaurant/16779821/review/visitor#,부산진구,초읍동,초읍동 매운명태밥상,초읍동 매운명태밥상 051-817-2517,
1214,214,고향식당,분식,051-892-2340,부산광역시 부산진구 가야동 598-2,"부산광역시 부산진구 냉정로 270, 1층 (가야동)",384848.149191738,185403.823186263,영업/정상,,부산진구,가야동,가야동 고향식당,가야동 고향식당 051-892-2340,
1216,216,쥬씨서면본점,기타,051-808-7897,부산광역시 부산진구 부전동 198-12번지 지상1층,"부산광역시 부산진구 중앙대로680번길 19, 지상1층 (부전동)",387666.222462684,185769.637999299,영업/정상,,부산진구,부전동,부전동 쥬씨서면본점,부전동 쥬씨서면본점 051-808-7897,
1219,219,시골밥집,한식,051-8947764,부산광역시 부산진구 당감동 870-12번지,"부산광역시 부산진구 신천대로197번길 22, 1층 (당감동)",386620.831304509,186386.054574389,영업/정상,,부산진구,당감동,당감동 시골밥집,당감동 시골밥집 051-8947764,
1222,222,삼산회관 부산시청점,한식,051-8686130,부산광역시 부산진구 양정동 257-14,"부산광역시 부산진구 중앙대로989번길 43, 1층 (양정동)",388746.527122936,188559.225438987,영업/정상,,부산진구,양정동,양정동 삼산회관 부산시청점,양정동 삼산회관 부산시청점 051-8686130,
1224,224,미진축산 가야공원점,한식,051-8972144,부산광역시 부산진구 가야동 484-8,부산광역시 부산진구 가야공원로 70 (가야동),384907.060769141,185004.518302619,영업/정상,,부산진구,가야동,가야동 미진축산 가야공원점,가야동 미진축산 가야공원점 051-8972144,
1229,229,치터스,한식,051-939-1223,부산광역시 부산진구 부전동 233-6 지상2층,"부산광역시 부산진구 서면로 26, 지상2층 (부전동)",387472.219694761,185712.506172758,영업/정상,,부산진구,부전동,부전동 치터스,부전동 치터스 051-939-1223,
1231,231,황금밀면,한식,051-9182225,부산광역시 부산진구 범천동 869-30번지,"부산광역시 부산진구 중앙대로 625, 1층 (범천동)",387552.843242632,185203.096952248,영업/정상,https://pcmap.place.naver.com/restaurant/37175921/review/visitor#,부산진구,범천동,범천동 황금밀면,범천동 황금밀면 051-9182225,
1238,238,처갓집양념치킨서면1호점,호프/통닭,051-802-9250,부산광역시 부산진구 부전동 401-1번지,"부산광역시 부산진구 새싹로 41-1, 1층 (부전동)",387262.563667099,186601.011202638,영업/정상,https://pcmap.place.naver.com/restaurant/16448934/review/visitor#,부산진구,부전동,부전동 처갓집양념치킨서면1호점,부전동 처갓집양념치킨서면1호점 051-802-9250,
1240,240,트루컴패니언,기타,051-8161101,부산광역시 부산진구 초읍동 351-13,"부산광역시 부산진구 성지곡로 17, 2층 (초읍동)",386422.437403163,189123.98722957,영업/정상,,부산진구,초읍동,초읍동 트루컴패니언,초읍동 트루컴패니언 051-8161101,
1243,243,대황장어곰장어,한식,051-803-5559,부산광역시 부산진구 당감동 238-23번지,"부산광역시 부산진구 당감로16번길 39-7, 1층 (당감동)",385939.495830806,186871.003558118,영업/정상,,부산진구,당감동,당감동 대황장어곰장어,당감동 대황장어곰장어 051-803-5559,
1247,247,초록섬미역,한식,051-8538253,부산광역시 부산진구 양정동 252-1번지,"부산광역시 부산진구 거제천로 52, 1층 (양정동)",388662.131505051,188609.481783559,영업/정상,https://pcmap.place.naver.com/restaurant/16785281/review/visitor#,부산진구,양정동,양정동 초록섬미역,양정동 초록섬미역 051-8538253,
1249,249,정경애코다리찜,한식,051-802-3399,부산광역시 부산진구 초읍동 352-4번지,"부산광역시 부산진구 성지곡로33번길 1, 1층 (초읍동)",386465.41563077,189259.67824874,영업/정상,,부산진구,초읍동,초읍동 정경애코다리찜,초읍동 정경애코다리찜 051-802-3399,
1252,252,생생돈까스,분식,051-892-8285,부산광역시 부산진구 당감동 889-5번지 3층,"부산광역시 부산진구 동평로 116-1, 3층 (당감동)",386000.3784538,187104.135825204,영업/정상,,부산진구,당감동,당감동 생생돈까스,당감동 생생돈까스 051-892-8285,
1254,254,도화주맥주소주,호프/통닭,051-8960999,부산광역시 부산진구 개금동 171-30,"부산광역시 부산진구 가야대로482번길 5, 2층 (개금동)",384449.107377504,185607.427169379,영업/정상,,부산진구,개금동,개금동 도화주맥주소주,개금동 도화주맥주소주 051-8960999,
1256,256,사이젠,일식,051-8067277,부산광역시 부산진구 부전동 168-154번지 1층,"부산광역시 부산진구 서전로10번길 41-2, 1층 (부전동)",387651.609706422,186040.409546655,영업/정상,,부산진구,부전동,부전동 사이젠,부전동 사이젠 051-8067277,
1257,257,반짠,"외국음식전문점(인도,태국등)",051-807-4282,부산광역시 부산진구 부전동 224-34번지,"부산광역시 부산진구 동천로 51, 1층 (부전동)",387842.819117127,185735.321387874,영업/정상,,부산진구,부전동,부전동 반짠,부전동 반짠 051-807-4282,
1260,260,부원삼계탕,한식,051-851-1843,부산광역시 부산진구 양정동 236-7 지상1층전체,"부산광역시 부산진구 진연로 13-9 (양정동, 지상1층전체)",388837.022658414,188565.383072029,영업/정상,,부산진구,양정동,양정동 부원삼계탕,양정동 부원삼계탕 051-851-1843,
1262,262,일미식당,기타,051-897-3535,부산광역시 부산진구 가야동 371-1번지,부산광역시 부산진구 대학로15번길 9 (가야동),385587.743246674,185748.472748396,영업/정상,,부산진구,가야동,가야동 일미식당,가야동 일미식당 051-897-3535,
1264,264,통큰닭강정(초읍점),통닭(치킨),051-817-9829,부산광역시 부산진구 초읍동 171-2번지 (지상1층일부),"부산광역시 부산진구 성지로 160 (초읍동, 지상1층일부))",386426.023375568,188938.210066839,영업/정상,,부산진구,초읍동,초읍동 통큰닭강정(초읍점),초읍동 통큰닭강정(초읍점) 051-817-9829,
1269,269,맛채움,분식,051-503-0675,부산광역시 부산진구 범전동 288-3,부산광역시 부산진구 시민공원로76번길 46-6 (범전동),387577.287268809,187069.600201337,영업/정상,https://pcmap.place.naver.com/restaurant/32013812/review/visitor#,부산진구,범전동,범전동 맛채움,범전동 맛채움 051-503-0675,
1270,270,기와집,한식,051-503-4075,부산광역시 부산진구 초읍동 363-5번지 (1층),"부산광역시 부산진구 성지곡로 59, 1층 (초읍동)",386533.16736178,189518.064769868,영업/정상,https://pcmap.place.naver.com/restaurant/1253104223/review/visitor#,부산진구,초읍동,초읍동 기와집,초읍동 기와집 051-503-4075,
1272,272,소문난손칼국수밀면,한식,051-807-7826,부산광역시 부산진구 전포동 345-14번지,"부산광역시 부산진구 서전로58번길 78, 1층 (전포동)",388186.378204751,185860.861190401,영업/정상,,부산진구,전포동,전포동 소문난손칼국수밀면,전포동 소문난손칼국수밀면 051-807-7826,
1273,273,짬뽕명가,중국식,051-802-8644,부산광역시 부산진구 부암동 123-12번지,"부산광역시 부산진구 시민공원로20번길 16, 1,2층 (부암동)",386896.20046077,186729.927458488,영업/정상,https://pcmap.place.naver.com/restaurant/21642843/review/visitor#,부산진구,부암동,부암동 짬뽕명가,부암동 짬뽕명가 051-802-8644,
1274,274,"밥튜브 양정,시청점",한식,051-863-2151,부산광역시 부산진구 양정동 138-31 지하1층전체,"부산광역시 부산진구 연수로 45-1 (양정동, 지하1층전체)",389049.912068028,188168.359322585,영업/정상,,부산진구,양정동,"양정동 밥튜브 양정,시청점","양정동 밥튜브 양정,시청점 051-863-2151",
1277,277,대박통,한식,051-818-0104,부산광역시 부산진구 전포동 202-10,"부산광역시 부산진구 서전로57번길 6, 2층 (전포동)",388205.308487282,186274.154527519,영업/정상,,부산진구,전포동,전포동 대박통,전포동 대박통 051-818-0104,
1278,278,불닭발동대문엽기떡볶이서면점,기타,051-8061110,부산광역시 부산진구 부전동 233-8 1층,"부산광역시 부산진구 신천대로62번길 51, 1층 (부전동)",387489.736243552,185711.179054397,영업/정상,,부산진구,부전동,부전동 불닭발동대문엽기떡볶이서면점,부전동 불닭발동대문엽기떡볶이서면점 051-8061110,
1279,279,가야포차선지국밥,기타,051-898-9799,부산광역시 부산진구 가야동 506-13번지,"부산광역시 부산진구 가야공원로 58, 2층 (가야동)",384908.47039709,185109.276535771,영업/정상,,부산진구,가야동,가야동 가야포차선지국밥,가야동 가야포차선지국밥 051-898-9799,
1280,280,맥시칸치킨,통닭(치킨),051-896-9989,"부산광역시 부산진구 부암동 560-14 협성피닉스타운112동112호,지상1층","부산광역시 부산진구 당감로 108 (부암동, 협성피닉스타운112동112호,지상1층)",385507.124840903,187866.898728489,영업/정상,,부산진구,부암동,부암동 맥시칸치킨,부암동 맥시칸치킨 051-896-9989,
1282,282,골목,기타,051-8668987,부산광역시 부산진구 양정동 276-11 지상1층전부,"부산광역시 부산진구 거제천로18번길 3 (양정동, 지상1층전부)",388592.043416868,188313.477495348,영업/정상,,부산진구,양정동,양정동 골목,양정동 골목 051-8668987,
1283,283,옥탑방두얼간이,분식,051-808-0719,부산광역시 부산진구 부전동 152-5 지상2층,"부산광역시 부산진구 동천로95번길 18, 지상2층 (부전동)",387750.916836906,186180.562724195,영업/정상,,부산진구,부전동,부전동 옥탑방두얼간이,부전동 옥탑방두얼간이 051-808-0719,
1284,284,갈비명소,한식,051-804-8277,부산광역시 부산진구 부암동 332,"부산광역시 부산진구 동평로 129, 1층 (부암동)",386124.196932643,187156.935956832,영업/정상,,부산진구,부암동,부암동 갈비명소,부암동 갈비명소 051-804-8277,
1285,285,시골밥상,한식,0519263678,부산광역시 부산진구 범천동 1215-22번지,"부산광역시 부산진구 신암로99번길 22, 1층 (범천동)",386839.750826034,185348.768981658,영업/정상,,부산진구,범천동,범천동 시골밥상,범천동 시골밥상 0519263678,
1287,287,수빈락,한식,051-8947774,부산광역시 부산진구 가야동 368-4,"부산광역시 부산진구 대학로 23, 1층 (가야동)",385521.692351328,185697.147797512,영업/정상,,부산진구,가야동,가야동 수빈락,가야동 수빈락 051-8947774,
1288,288,황칠오리,식육(숯불구이),051-6470101,부산광역시 부산진구 범천동 844-59번지,"부산광역시 부산진구 중앙번영로 14-7, 1층 (범천동)",387741.696165495,184763.359738375,영업/정상,,부산진구,범천동,범천동 황칠오리,범천동 황칠오리 051-6470101,
1291,291,원조기장산곰장어,기타,051-8032934,부산광역시 부산진구 부전동 344-12번지 지상2~3층일부,"부산광역시 부산진구 부전로 176-1 (부전동, 지상2~3층일부)",387638.914946603,186829.478123283,영업/정상,,부산진구,부전동,부전동 원조기장산곰장어,부전동 원조기장산곰장어 051-8032934,
1295,295,맛칼,한식,051-7537212,부산광역시 부산진구 당감동 292-82,"부산광역시 부산진구 당감로34번길 34, 1층 (당감동)",385897.723573516,187001.303929604,영업/정상,,부산진구,당감동,당감동 맛칼,당감동 맛칼 051-7537212,
1296,296,딥테이블,한식,051-8048515,부산광역시 부산진구 전포동 685-10,"부산광역시 부산진구 서전로38번길 66, 2층 (전포동)",387982.33865494,185903.328261664,영업/정상,,부산진구,전포동,전포동 딥테이블,전포동 딥테이블 051-8048515,
1299,299,해신킹크랩,한식,051-8080039,부산광역시 부산진구 전포동 874-12,"부산광역시 부산진구 전포대로275번길 65, 4층 (전포동)",387971.790946663,186823.558893884,영업/정상,,부산진구,전포동,전포동 해신킹크랩,전포동 해신킹크랩 051-8080039,
1302,302,맥주 앤 신,호프/통닭,051-8976683,부산광역시 부산진구 개금동 540-159번지 지상2층전부,"부산광역시 부산진구 엄광로 52 (개금동, 지상2층전부)",384164.336884539,185077.160858854,영업/정상,,부산진구,개금동,개금동 맥주 앤 신,개금동 맥주 앤 신 051-8976683,
1304,304,연운당,경양식,051-804-2026,부산광역시 부산진구 전포동 687-12,"부산광역시 부산진구 서전로46번길 62-8, 1층 (전포동)",388045.237023935,185940.868977036,영업/정상,,부산진구,전포동,전포동 연운당,전포동 연운당 051-804-2026,
1309,309,쌍둥이숯불두마리치킨,호프/통닭,051-894-4005,부산광역시 부산진구 개금동 177-392 (1층),"부산광역시 부산진구 복지로 27-1, 1층 (개금동)",384036.038099552,185366.51726264,영업/정상,,부산진구,개금동,개금동 쌍둥이숯불두마리치킨,개금동 쌍둥이숯불두마리치킨 051-894-4005,
1310,310,본가밀면전문점,분식,051-808-8844,부산광역시 부산진구 부전동 255-7번지,부산광역시 부산진구 서면로68번길 19-1 (부전동),387503.286069292,186043.688845056,영업/정상,,부산진구,부전동,부전동 본가밀면전문점,부전동 본가밀면전문점 051-808-8844,
1315,315,하송식당,한식,051-807-8076,부산광역시 부산진구 부전동 100-16번지 (1층),"부산광역시 부산진구 중앙대로756번길 19, 1층 (부전동)",387799.294452399,186425.437333872,영업/정상,,부산진구,부전동,부전동 하송식당,부전동 하송식당 051-807-8076,
1316,316,삼겹시대,기타,051-638-3392,부산광역시 부산진구 범천동 1254-14번지,"부산광역시 부산진구 신암로 80, 1층 (범천동)",387093.934607461,185211.828253269,영업/정상,,부산진구,범천동,범천동 삼겹시대,범천동 삼겹시대 051-638-3392,
1317,317,부어치킨 부산서면점,호프/통닭,051-808-1292,부산광역시 부산진구 전포동 881-5,"부산광역시 부산진구 전포대로171번길 26, 1층 105호 (전포동, 유림더블루)",387980.801429427,185579.847405621,영업/정상,,부산진구,전포동,전포동 부어치킨 부산서면점,전포동 부어치킨 부산서면점 051-808-1292,
1318,318,유호비앤에프/고봉민김밥,분식,051-807-8222,부산광역시 부산진구 부전동 502-6번지,"부산광역시 부산진구 가야대로784번길 15-1, 1층 (부전동)",387400.35532583,186110.659257539,영업/정상,,부산진구,부전동,부전동 유호비앤에프/고봉민김밥,부전동 유호비앤에프/고봉민김밥 051-807-8222,
1319,319,바코드,경양식,051-802-3265,부산광역시 부산진구 부전동 198-5 지하1층,"부산광역시 부산진구 신천대로50번길 66, 지하1층 (부전동)",387646.851279457,185775.783727434,영업/정상,https://pcmap.place.naver.com/restaurant/16415037/review/visitor#,부산진구,부전동,부전동 바코드,부전동 바코드 051-802-3265,
1320,320,옛날전통짜장,중국식,051-807-4228,부산광역시 부산진구 부전동 341-23번지,"부산광역시 부산진구 부전로174번길 27-7, 1층 (부전동)",387704.738548196,186742.896076807,영업/정상,,부산진구,부전동,부전동 옛날전통짜장,부전동 옛날전통짜장 051-807-4228,
1321,321,자갈치보리밥,한식,051-633-5455,부산광역시 부산진구 범천동 839-409번지,"부산광역시 부산진구 자유평화로 21-7, 1층 (범천동)",387848.602401752,184458.38947788,영업/정상,https://pcmap.place.naver.com/restaurant/38264549/review/visitor#,부산진구,범천동,범천동 자갈치보리밥,범천동 자갈치보리밥 051-633-5455,
1323,323,골목오뎅바,분식,051-8178967,부산광역시 부산진구 부전동 474-67 1층,"부산광역시 부산진구 가야대로765번길 33, 1층 (부전동)",387191.753750514,186392.808600429,영업/정상,https://pcmap.place.naver.com/restaurant/16481647/review/visitor#,부산진구,부전동,부전동 골목오뎅바,부전동 골목오뎅바 051-8178967,
1324,324,역전할머니맥주,기타,070-82011996,부산광역시 부산진구 가야동 464-79번지 외1필지(지상1층전체),"부산광역시 부산진구 대학로 84-2 (가야동, 외1필지(지상1층전체))",385334.990927801,185129.67399824,영업/정상,https://pcmap.place.naver.com/restaurant/1128548726/review/visitor#,부산진구,가야동,가야동 역전할머니맥주,가야동 역전할머니맥주 070-82011996,
1329,329,쌍복,기타,051-980-9090,부산광역시 부산진구 부전동 168-6,"부산광역시 부산진구 중앙대로680번가길 81, 2층 (부전동)",387726.53964801,186156.620127391,영업/정상,,부산진구,부전동,부전동 쌍복,부전동 쌍복 051-980-9090,
1332,332,폴리아(foglia),기타,051-995-5520,부산광역시 부산진구 전포동 885-22,"부산광역시 부산진구 동천로 34-2, 1층 (전포동)",387877.935068096,185568.129101128,영업/정상,https://pcmap.place.naver.com/restaurant/1861057191/review/visitor#,부산진구,전포동,전포동 폴리아(foglia),전포동 폴리아(foglia) 051-995-5520,
1334,334,촌국수,분식,051-865-3338,부산광역시 부산진구 양정동 148-1번지 지상1층일부,"부산광역시 부산진구 중앙대로990번길 7 (양정동, 지상1층일부)",388979.610921736,188436.929463587,영업/정상,,부산진구,양정동,양정동 촌국수,양정동 촌국수 051-865-3338,
1335,335,미강찜가마솥보리밥,기타,051-8923693,부산광역시 부산진구 개금동 169-29번지 1층전부,"부산광역시 부산진구 가야공원로14번길 71, 1층 (개금동)",384520.273676656,185512.56363466,영업/정상,,부산진구,개금동,개금동 미강찜가마솥보리밥,개금동 미강찜가마솥보리밥 051-8923693,
1336,336,짬뽕상회,중국식,051-895-1662,부산광역시 부산진구 당감동 622-1번지 지상1층전체,"부산광역시 부산진구 동평로 31 (당감동, 지상1층전체)",385154.314496244,186984.319354953,영업/정상,,부산진구,당감동,당감동 짬뽕상회,당감동 짬뽕상회 051-895-1662,
1337,337,동방축산,식육(숯불구이),051-896-8292,부산광역시 부산진구 당감동 622-1 지상2층전체,"부산광역시 부산진구 동평로 31 (당감동, 지상2층전체)",385154.314496244,186984.319354953,영업/정상,https://pcmap.place.naver.com/restaurant/1376773248/review/visitor#,부산진구,당감동,당감동 동방축산,당감동 동방축산 051-896-8292,
1338,338,와락,호프/통닭,051-804-3927,부산광역시 부산진구 전포동 677-9번지 지상1층일부,"부산광역시 부산진구 전포대로209번길 14 (전포동, 지상1층일부)",388040.447295605,185986.520302282,영업/정상,,부산진구,전포동,전포동 와락,전포동 와락 051-804-3927,
1340,340,가포레포차,호프/통닭,051-817-1232,부산광역시 부산진구 부전동 404-13번지,"부산광역시 부산진구 새싹로 49-4, 1층 (부전동)",387205.249826785,186668.342843424,영업/정상,,부산진구,부전동,부전동 가포레포차,부전동 가포레포차 051-817-1232,
1342,342,우리가,한식,051-6333447,부산광역시 부산진구 가야동 144-20번지,"부산광역시 부산진구 가야대로 516-18, 1층 (가야동)",384769.294094621,185604.957326083,영업/정상,https://pcmap.place.naver.com/restaurant/1054841094/review/visitor#,부산진구,가야동,가야동 우리가,가야동 우리가 051-6333447,
1345,345,에이플러스,경양식,07073961211,부산광역시 부산진구 전포동 686-1,"부산광역시 부산진구 서전로38번길 65, 2층 201,202호 (전포동, 더블루2)",388017.982184788,185904.127058654,영업/정상,https://pcmap.place.naver.com/restaurant/1743421860/review/visitor#,부산진구,전포동,전포동 에이플러스,전포동 에이플러스 07073961211,
1346,346,림스치킨가야점,호프/통닭,051-8915147,부산광역시 부산진구 가야동 45-1번지,"부산광역시 부산진구 가야대로 649-1, 1층 (가야동)",386068.651025663,186015.937986645,영업/정상,https://pcmap.place.naver.com/restaurant/1854970106/review/visitor#,부산진구,가야동,가야동 림스치킨가야점,가야동 림스치킨가야점 051-8915147,
1351,351,테루엔씨(NC)서면점,일식,051-7947350,부산광역시 부산진구 전포동 668-1 지상5층일부,"부산광역시 부산진구 동천로 92 (전포동, 지상5층일부)",387920.292113406,186157.316240541,영업/정상,https://pcmap.place.naver.com/restaurant/16415743/review/visitor#,부산진구,전포동,전포동 테루엔씨(NC)서면점,전포동 테루엔씨(NC)서면점 051-7947350,
1353,353,비비큐올리브치킨신양정점,호프/통닭,051-867-9282,부산광역시 부산진구 양정동 93-1번지,"부산광역시 부산진구 연수로 24, 1층 (양정동)",388856.39271584,188025.366160353,영업/정상,https://pcmap.place.naver.com/restaurant/37951093/review/visitor#,부산진구,양정동,양정동 비비큐올리브치킨신양정점,양정동 비비큐올리브치킨신양정점 051-867-9282,
1360,360,민스시,일식,051-801-9973,부산광역시 부산진구 부전동 233-16번지 지상1층 베스트웨스턴UL부산호텔,"부산광역시 부산진구 서면로 20, 지상1층 (부전동, 베스트웨스턴UL부산호텔)",387479.399412989,185623.856661782,영업/정상,https://pcmap.place.naver.com/restaurant/16436595/review/visitor#,부산진구,부전동,부전동 민스시,부전동 민스시 051-801-9973,
1361,361,하나돈가스 개금점,경양식,051-8688244,부산광역시 부산진구 개금동 540-51번지 다온미즈 지하1층전부,"부산광역시 부산진구 복지로 57 (개금동, 다온미즈 지하1층전부)",384081.538687718,185067.440279965,영업/정상,,부산진구,개금동,개금동 하나돈가스 개금점,개금동 하나돈가스 개금점 051-8688244,
1364,364,옛날짜장,중국식,051-816-7989,부산광역시 부산진구 부전동 268-6번지 (1층),"부산광역시 부산진구 중앙대로755번길 28, 1층 (부전동)",387586.095014377,186547.926977244,영업/정상,,부산진구,부전동,부전동 옛날짜장,부전동 옛날짜장 051-816-7989,
1369,369,옛날국수,기타,051-817-7798,부산광역시 부산진구 부전동 519-5 지상1층,"부산광역시 부산진구 가야대로784번길 52, 지상1층 (부전동)",387376.10506241,185936.217453959,영업/정상,,부산진구,부전동,부전동 옛날국수,부전동 옛날국수 051-817-7798,
