Unnamed: 0,사업장명,업태구분명,소재지전화,소재지전체주소,도로명전체주소,좌표정보(x),좌표정보(y),영업상태명,naver_map_url,구,동,검색어,검색어2,naver_map_url_df1
106,동남갈비,한식,051-8043700,부산광역시 부산진구 부전동 474-129번지,부산광역시 부산진구 부전로96번길 35 (부전동),387340.3112,186348.82,영업/정상,,부산진구,부전동,부전동 동남갈비,부전동 동남갈비 051-8043700,
107,이슈모리,한식,051-8062277,부산광역시 부산진구 부전동 233-15,"부산광역시 부산진구 신천대로62번길 45, 1층 (부전동)",387490.2701,185678.9143,영업/정상,,부산진구,부전동,부전동 이슈모리,부전동 이슈모리 051-8062277,
108,포항명품물회,한식,051-8055464,부산광역시 부산진구 부전동 128-1번지,부산광역시 부산진구 중앙대로756번길 8 (부전동),387723.1803,186426.7194,영업/정상,,부산진구,부전동,부전동 포항명품물회,부전동 포항명품물회 051-8055464,
109,초연반점,중국식,051-6341514,부산광역시 부산진구 초읍동 289-1번지,"부산광역시 부산진구 성지로143번길 14, 1층 (초읍동)",386547.8188,188781.5386,영업/정상,,부산진구,초읍동,초읍동 초연반점,초읍동 초연반점 051-6341514,
110,신호등 장작구이/쾌도육가,한식,051-8977892,"부산광역시 부산진구 개금동 496-18 ,497-3","부산광역시 부산진구 가야대로 414 (개금동,,497-3)",383794.8917,185511.1876,영업/정상,,부산진구,개금동,개금동 신호등 장작구이/쾌도육가,개금동 신호등 장작구이/쾌도육가 051-8977892,
111,꾸브라꼬숯불두마리치킨(부산진구점),한식,051-8960485,부산광역시 부산진구 당감동 516-4 나상가 4,"부산광역시 부산진구 백양관문로 10 (당감동,나상가 4)",385072.8871,186590.745,영업/정상,,부산진구,당감동,당감동 꾸브라꼬숯불두마리치킨(부산진구점),당감동 꾸브라꼬숯불두마리치킨(부산진구점) 051-8960485,
112,보성집,한식,051-895-8718,부산광역시 부산진구 범천동 871-23,부산광역시 부산진구 신천대로65번길 64 (범천동),387468.0171,185077.1222,영업/정상,,부산진구,범천동,범천동 보성집,범천동 보성집 051-895-8718,
113,태성관,중국식,051-6324255,부산광역시 부산진구 범천동 1120-4,"부산광역시 부산진구 신암로145번길 30, 2층 (범천동)",386544.2768,185644.1713,영업/정상,,부산진구,범천동,범천동 태성관,범천동 태성관 051-6324255,
114,장수국밥,한식,051-8042277,"부산광역시 부산진구 부전동 401-23번지 ,30","부산광역시 부산진구 새싹로29번길 8 (부전동,,30)",387313.7293,186506.7023,영업/정상,,부산진구,부전동,부전동 장수국밥,부전동 장수국밥 051-8042277,
115,고깃리 88번지 양정점,한식,051-8525967,부산광역시 부산진구 양정동 393-17,부산광역시 부산진구 중앙대로909번길 8 (양정동),388473.8677,187800.8673,영업/정상,,부산진구,양정동,양정동 고깃리 88번지 양정점,양정동 고깃리 88번지 양정점 051-8525967,
116,기장곰장어,한식,,부산광역시 부산진구 양정동 391-6,부산광역시 부산진구 중앙대로909번길 28 (양정동),388464.4491,187877.6371,영업/정상,,부산진구,양정동,양정동 기장곰장어,양정동 기장곰장어 ,
117,씨이오,경양식,051-8184001,부산광역시 부산진구 부전동 404-27 2층,"부산광역시 부산진구 서면문화로 46, 2층 (부전동)",387230.0017,186611.2035,영업/정상,,부산진구,부전동,부전동 씨이오,부전동 씨이오 051-8184001,
118,수영본가돼지국밥,한식,051803-2698,부산광역시 부산진구 부전동 255-13 (1층),"부산광역시 부산진구 서면로68번길 25, 1층 (부전동)",387506.0512,186021.2269,영업/정상,,부산진구,부전동,부전동 수영본가돼지국밥,부전동 수영본가돼지국밥 051803-2698,
119,신보성,중국식,,부산광역시 부산진구 부전동 232-16 지상2층,"부산광역시 부산진구 신천대로62번길 44, 지상2층 (부전동)",387515.1213,185666.4168,영업/정상,,부산진구,부전동,부전동 신보성,부전동 신보성 ,
120,삿뽀로의눈,경양식,051-804-9298,부산광역시 부산진구 부전동 233-5번지 지상1층,"부산광역시 부산진구 서면로 28, 지상1층 (부전동)",387466.17,185719.3149,영업/정상,,부산진구,부전동,부전동 삿뽀로의눈,부전동 삿뽀로의눈 051-804-9298,
121,우리호프,호프/통닭,051-816-2570,"부산광역시 부산진구 연지동 190-9번지 ,10,47","부산광역시 부산진구 연지로 12-1 (연지동,,10,47)",386810.4571,187666.9451,영업/정상,,부산진구,연지동,연지동 우리호프,연지동 우리호프 051-816-2570,
122,소정갈비나라,한식,8982739,부산광역시 부산진구 당감동 739-7번지,부산광역시 부산진구 당감서로 78-1 (당감동),385521.8737,187257.0933,영업/정상,,부산진구,당감동,당감동 소정갈비나라,당감동 소정갈비나라 8982739,
123,교촌치킨연지점,통닭(치킨),051-8077701,부산광역시 부산진구 연지동 40-12번지 지상1층,"부산광역시 부산진구 동평로 299 (연지동, 지상1층)",387541.2854,187844.9298,영업/정상,,부산진구,연지동,연지동 교촌치킨연지점,연지동 교촌치킨연지점 051-8077701,
124,서면식당,한식,051-8941211,부산광역시 부산진구 가야동 5-6 1층,"부산광역시 부산진구 가야대로668번길 6, 1층 (가야동)",386245.0386,185979.6139,영업/정상,,부산진구,가야동,가야동 서면식당,가야동 서면식당 051-8941211,
125,프레젠트,한식,051-8915932,부산광역시 부산진구 개금동 257,부산광역시 부산진구 백양대로 241 (개금동),384400.2312,186044.682,영업/정상,,부산진구,개금동,개금동 프레젠트,개금동 프레젠트 051-8915932,
126,한방장수식당,통닭(치킨),051-8932275,부산광역시 부산진구 개금동 419-25,부산광역시 부산진구 개금본동로 81-1 (개금동),384152.643,186004.1846,영업/정상,,부산진구,개금동,개금동 한방장수식당,개금동 한방장수식당 051-8932275,
127,남영각,중국식,051-8974517,부산광역시 부산진구 당감동 73-6,부산광역시 부산진구 가야대로703번나길 12-1 (당감동),386510.0558,186275.056,영업/정상,,부산진구,당감동,당감동 남영각,당감동 남영각 051-8974517,
128,백년국밥,한식,051-803-8677,부산광역시 부산진구 초읍동 291-15번지,부산광역시 부산진구 새싹로 278 (초읍동),386432.6073,188779.5352,영업/정상,,부산진구,초읍동,초읍동 백년국밥,초읍동 백년국밥 051-803-8677,
129,이디야,기타,051-816-5382,부산광역시 부산진구 부암동 96-8번지,부산광역시 부산진구 새싹로 83-1 (부암동),387018.001,186944.3981,영업/정상,,부산진구,부암동,부암동 이디야,부암동 이디야 051-816-5382,
130,백향만두,중국식,051-8166960,부산광역시 부산진구 부암동 560-14번지,부산광역시 부산진구 당감로 118 (부암동),385507.1248,187866.8987,영업/정상,,부산진구,부암동,부암동 백향만두,부암동 백향만두 051-8166960,
131,골목집,한식,051-8055926,부산광역시 부산진구 부전동 267-13,"부산광역시 부산진구 중앙대로 761-1, 1층 (부전동)",387705.9575,186537.2934,영업/정상,,부산진구,부전동,부전동 골목집,부전동 골목집 051-8055926,
132,미식가의구이,한식,051-635-3303,부산광역시 부산진구 범천동 841-216,"부산광역시 부산진구 범일로142번길 41, 1층 (범천동)",387817.1373,184577.8067,영업/정상,,부산진구,범천동,범천동 미식가의구이,범천동 미식가의구이 051-635-3303,
133,추억의촌닭,호프/통닭,051-8953520,부산광역시 부산진구 당감동 289-20,부산광역시 부산진구 동평로100번길 5 (당감동),385854.6799,187041.5693,영업/정상,,부산진구,당감동,당감동 추억의촌닭,당감동 추억의촌닭 051-8953520,
134,청해수산(직영점),한식,051-8184917,부산광역시 부산진구 부전동 400-7번지 16,"부산광역시 부산진구 새싹로29번길 9 (부전동,16)",387309.8277,186485.2193,영업/정상,,부산진구,부전동,부전동 청해수산(직영점),부전동 청해수산(직영점) 051-8184917,
135,급행장차이나,중국식,051-8063377,부산광역시 부산진구 부전동 475-10,부산광역시 부산진구 부전로96번길 40-1 (부전동),387344.0872,186310.4099,영업/정상,,부산진구,부전동,부전동 급행장차이나,부전동 급행장차이나 051-8063377,
136,늘찬푸드,중국식,051-808-2429,부산광역시 부산진구 연지동 340-26 외 1필지,"부산광역시 부산진구 동평로223번길 97 (연지동,외 1필지)",386656.1005,187905.3541,영업/정상,,부산진구,연지동,연지동 늘찬푸드,연지동 늘찬푸드 051-808-2429,
137,황금수산,한식,051-6456039,부산광역시 부산진구 범천동 859-15,부산광역시 부산진구 황령대로 25 (범천동),387869.8645,185218.8828,영업/정상,,부산진구,범천동,범천동 황금수산,범천동 황금수산 051-6456039,
138,동네고깃집,한식,051-8947446,부산광역시 부산진구 당감동 379-30번지,부산광역시 부산진구 당감서로 37-2 (당감동),385508.7507,186873.4017,영업/정상,,부산진구,당감동,당감동 동네고깃집,당감동 동네고깃집 051-8947446,
139,경화루,중국식,051-808-0663,부산광역시 부산진구 부암동 364-12 (1층),"부산광역시 부산진구 동평로127번길 41, 1층 (부암동)",386036.9081,187347.4399,영업/정상,,부산진구,부암동,부암동 경화루,부암동 경화루 051-808-0663,
140,고기가맛있다,한식,051-8971828,부산광역시 부산진구 가야동 459-41번지 (1층),"부산광역시 부산진구 엄광로 176-5 (가야동,(1층))",385280.0405,185011.8208,영업/정상,,부산진구,가야동,가야동 고기가맛있다,가야동 고기가맛있다 051-8971828,
141,봉평대가,한식,051-639-8192,부산광역시 부산진구 범천동 848-19번지,부산광역시 부산진구 범일로 170 (범천동),387625.6698,184844.0834,영업/정상,,부산진구,범천동,범천동 봉평대가,범천동 봉평대가 051-639-8192,
142,청가옥,기타,051-925-5551,부산광역시 부산진구 범천동 839-410,부산광역시 부산진구 자유평화로 21-4 (범천동),387889.0168,184447.5836,영업/정상,,부산진구,범천동,범천동 청가옥,범천동 청가옥 051-925-5551,
143,강촌다슬기,한식,051-8611123,부산광역시 부산진구 양정동 285-32번지,부산광역시 부산진구 해맞이로 7 (양정동),388143.003,188210.5723,영업/정상,,부산진구,양정동,양정동 강촌다슬기,양정동 강촌다슬기 051-8611123,
144,떡장인방앗간,분식,051-8062743,부산광역시 부산진구 부전동 187-17,부산광역시 부산진구 중앙대로692번길 21-3 (부전동),387673.2786,185884.1628,영업/정상,,부산진구,부전동,부전동 떡장인방앗간,부전동 떡장인방앗간 051-8062743,
145,미락,한식,051-8098077,부산광역시 부산진구 부암동 505-1번지,부산광역시 부산진구 당감서로 90 (부암동),385487.2719,187384.4198,영업/정상,,부산진구,부암동,부암동 미락,부암동 미락 051-8098077,
146,숙이네식당,한식,051-8969203,부산광역시 부산진구 가야동 13-9,"부산광역시 부산진구 가야대로668번길 30, 1층 (가야동)",386224.3013,185876.2482,영업/정상,,부산진구,가야동,가야동 숙이네식당,가야동 숙이네식당 051-8969203,
147,족발쌀롱,분식,051-3811158,부산광역시 부산진구 개금동 177-276번지,부산광역시 부산진구 복지로13번길 37 (개금동),384220.6494,185530.8193,영업/정상,,부산진구,개금동,개금동 족발쌀롱,개금동 족발쌀롱 051-3811158,
148,시골집,경양식,051-9104105,"부산광역시 부산진구 전포동 892-20번지 지오플레이스 4101,4112,4113.4114호","부산광역시 부산진구 동천로 4 (전포동,지오플레이스 4101,4112,4113.4114호)",388011.1978,185310.7053,영업/정상,,부산진구,전포동,전포동 시골집,전포동 시골집 051-9104105,
149,참맛대게,한식,051-851-2020,부산광역시 부산진구 당감동 891-19,"부산광역시 부산진구 백양대로60번길 36-4, 1층 (당감동)",386033.9037,186877.4291,영업/정상,,부산진구,당감동,당감동 참맛대게,당감동 참맛대게 051-851-2020,
150,안주가 부산진구점,한식,051-8055643,부산광역시 부산진구 전포동 595-8,부산광역시 부산진구 동성로 138 (전포동),388008.7775,186607.9772,영업/정상,https://pcmap.place.naver.com/restaurant/1899186498/review/visitor#,부산진구,전포동,전포동 안주가 부산진구점,전포동 안주가 부산진구점 051-8055643,https://pcmap.place.naver.com/restaurant/1899186498/review/visitor#
151,디케이(DK)동키치킨 서면점,호프/통닭,,부산광역시 부산진구 부전동 168-157 지상1층,"부산광역시 부산진구 서전로10번길 45-5, 지상1층 (부전동)",387653.7787,186031.0484,영업/정상,,부산진구,부전동,부전동 디케이(DK)동키치킨 서면점,부전동 디케이(DK)동키치킨 서면점 ,
152,소양강식당,경양식,051-8970861,부산광역시 부산진구 가야동 48-88번지 외4필지,"부산광역시 부산진구 엄광로 285 (가야동,외4필지)",385905.2143,185890.4458,영업/정상,,부산진구,가야동,가야동 소양강식당,가야동 소양강식당 051-8970861,
153,철우식당,한식,051-8910170,부산광역시 부산진구 가야동 3-17번지 2층,"부산광역시 부산진구 가야대로 669, 2층 (가야동)",386273.2214,186067.24,영업/정상,,부산진구,가야동,가야동 철우식당,가야동 철우식당 051-8910170,
154,태화식당,한식,051-8980845,부산광역시 부산진구 가야동 3-17번지 2층,"부산광역시 부산진구 가야대로 669, 2층 (가야동)",386273.2214,186067.24,영업/정상,,부산진구,가야동,가야동 태화식당,가야동 태화식당 051-8980845,
155,하나옛날통닭(당감점),호프/통닭,051-892-8592,부산광역시 부산진구 당감동 738-5,부산광역시 부산진구 당감서로80번길 9 (당감동),385549.4162,187277.0953,영업/정상,,부산진구,당감동,당감동 하나옛날통닭(당감점),당감동 하나옛날통닭(당감점) 051-892-8592,
156,내맘이야,한식,051-8515336,"부산광역시 부산진구 양정동 353-22번지 ,23","부산광역시 부산진구 양지로5번길 9 (양정동,,23)",388492.488,187630.1425,영업/정상,,부산진구,양정동,양정동 내맘이야,양정동 내맘이야 051-8515336,
157,서라벌,경양식,051-9101307,부산광역시 부산진구 전포동 891-38번지 외2번지,"부산광역시 부산진구 동천로 4 (전포동,외2번지)",388095.0974,185326.1925,영업/정상,,부산진구,전포동,전포동 서라벌,전포동 서라벌 051-9101307,
158,바다횟집,횟집,051-8927414,부산광역시 부산진구 개금동 540-111번지,부산광역시 부산진구 엄광로 47 (개금동),384127.6997,185102.6475,영업/정상,,부산진구,개금동,개금동 바다횟집,개금동 바다횟집 051-8927414,
159,합천돼지국밥,한식,051-8049697,부산광역시 부산진구 부전동 352-5번지,부산광역시 부산진구 부전로140번길 27 (부전동),387420.9973,186552.8609,영업/정상,https://pcmap.place.naver.com/restaurant/1965920255/review/visitor#,부산진구,부전동,부전동 합천돼지국밥,부전동 합천돼지국밥 051-8049697,https://pcmap.place.naver.com/restaurant/1965920255/review/visitor#
160,명품생오리,한식,051-8925992,부산광역시 부산진구 개금동 447번지,부산광역시 부산진구 백양대로320번길 18 (개금동),383670.317,185827.2288,영업/정상,https://pcmap.place.naver.com/restaurant/36466931/review/visitor#,부산진구,개금동,개금동 명품생오리,개금동 명품생오리 051-8925992,https://pcmap.place.naver.com/restaurant/36466931/review/visitor#
161,준June,경양식,051-816-3140,부산광역시 부산진구 부전동 520-5번지,"부산광역시 부산진구 가야대로784번길 60, 2층 (부전동)",387366.2932,185897.3082,영업/정상,,부산진구,부전동,부전동 준June,부전동 준June 051-816-3140,
162,업텐브로피자 개금점,분식,051-8929088,부산광역시 부산진구 개금동 527-21,"부산광역시 부산진구 냉정로178번길 18, 1층 (개금동)",383942.423,185188.0617,영업/정상,,부산진구,개금동,개금동 업텐브로피자 개금점,개금동 업텐브로피자 개금점 051-8929088,
163,찌개밥상,한식,051-8059573,부산광역시 부산진구 부전동 98-4 (1층),"부산광역시 부산진구 서전로9번길 58 (부전동,(1층))",387808.9738,186492.4569,영업/정상,https://pcmap.place.naver.com/restaurant/1393945901/review/visitor#,부산진구,부전동,부전동 찌개밥상,부전동 찌개밥상 051-8059573,https://pcmap.place.naver.com/restaurant/1393945901/review/visitor#
164,센스,경양식,051-8925781,부산광역시 부산진구 개금동 523-62번지,부산광역시 부산진구 복지로 26 (개금동),384005.1365,185392.4608,영업/정상,,부산진구,개금동,개금동 센스,개금동 센스 051-8925781,
165,시골집,한식,051-8051815,부산광역시 부산진구 부전동 396-1번지,부산광역시 부산진구 새싹로28번길 8 (부전동),387402.2503,186498.9349,영업/정상,,부산진구,부전동,부전동 시골집,부전동 시골집 051-8051815,
166,김밥시대,한식,051-8184445,부산광역시 부산진구 초읍동 288-6번지,부산광역시 부산진구 새싹로 274-1 (초읍동),386440.1069,188739.754,영업/정상,,부산진구,초읍동,초읍동 김밥시대,초읍동 김밥시대 051-8184445,
167,본죽부전점,한식,051-8188588,부산광역시 부산진구 부전동 475-2번지,부산광역시 부산진구 서면문화로 9 (부전동),387401.3907,186303.4416,영업/정상,,부산진구,부전동,부전동 본죽부전점,부전동 본죽부전점 051-8188588,
168,웨스트카우보이,경양식,051-8956907,부산광역시 부산진구 개금동 540-31번지,부산광역시 부산진구 복지로 46 (개금동),384035.1502,185187.9111,영업/정상,,부산진구,개금동,개금동 웨스트카우보이,개금동 웨스트카우보이 051-8956907,
169,오리랑탕이랑,한식,051-8185336,부산광역시 부산진구 부전동 398-5번지,부산광역시 부산진구 새싹로 21-14 (부전동),387339.0665,186442.7524,영업/정상,,부산진구,부전동,부전동 오리랑탕이랑,부전동 오리랑탕이랑 051-8185336,
170,라라관푸드,중국식,,"부산광역시 부산진구 부전동 224-6 외 1필지(224-12), 지상1층","부산광역시 부산진구 동천로 47-1, 지상1층 (부전동)",387842.5762,185710.733,영업/정상,,부산진구,부전동,부전동 라라관푸드,부전동 라라관푸드 ,
171,미담,한식,051-8076553,부산광역시 부산진구 부전동 519-32,"부산광역시 부산진구 중앙대로691번가길 24-16, 1-2층 (부전동)",387310.1028,185949.6805,영업/정상,,부산진구,부전동,부전동 미담,부전동 미담 051-8076553,
172,오!마이갓,기타,051-9191011,부산광역시 부산진구 전포동 891-38번지 외2번지,"부산광역시 부산진구 동천로 4 (전포동,외2번지)",388095.0974,185326.1925,영업/정상,,부산진구,전포동,전포동 오!마이갓,전포동 오!마이갓 051-9191011,
173,OK목장,식육(숯불구이),051-8945643,부산광역시 부산진구 당감동 362-4번지,부산광역시 부산진구 동평로 63 (당감동),385469.4471,187022.9058,영업/정상,,부산진구,당감동,당감동 OK목장,당감동 OK목장 051-8945643,
174,촌닭,통닭(치킨),051-8199982,부산광역시 부산진구 부전동 177-0번지,부산광역시 부산진구 중앙대로680번가길 38 (부전동),387731.9484,185941.6142,영업/정상,,부산진구,부전동,부전동 촌닭,부전동 촌닭 051-8199982,
175,화전국수,한식,051-8663797,부산광역시 부산진구 양정동 352-12,부산광역시 부산진구 양지로5번길 37 (양정동),388567.7038,187741.3273,영업/정상,,부산진구,양정동,양정동 화전국수,양정동 화전국수 051-8663797,
176,힐링,호프/통닭,051-8098701,부산광역시 부산진구 전포동 189-35,부산광역시 부산진구 동성로 104-1 (전포동),388308.956,186454.96,영업/정상,,부산진구,전포동,전포동 힐링,전포동 힐링 051-8098701,
177,라미도매수산,한식,051-8082707,부산광역시 부산진구 부암동 424-1,부산광역시 부산진구 당감로64번길 33 (부암동),385818.9107,187335.6645,영업/정상,,부산진구,부암동,부암동 라미도매수산,부암동 라미도매수산 051-8082707,
178,들녘,한식,,부산광역시 부산진구 양정동 253-10번지,부산광역시 부산진구 거제천로44번길 25 (양정동),388714.7718,188647.7168,영업/정상,,부산진구,양정동,양정동 들녘,양정동 들녘 ,
179,도담찜닭 개금점,한식,051-8951957,부산광역시 부산진구 개금동 523-14,"부산광역시 부산진구 복지로 16-1, 1층 (개금동)",384007.4074,185480.7596,영업/정상,,부산진구,개금동,개금동 도담찜닭 개금점,개금동 도담찜닭 개금점 051-8951957,
180,양정서민관,분식,051-8610707,부산광역시 부산진구 양정동 71-9,부산광역시 부산진구 양정로 20-1 (양정동),388917.3342,187861.1911,영업/정상,,부산진구,양정동,양정동 양정서민관,양정동 양정서민관 051-8610707,
181,올리브,한식,051-8095946,부산광역시 부산진구 부전동 259-19번지,부산광역시 부산진구 서면문화로 8-6 (부전동),387460.3913,186323.6584,영업/정상,,부산진구,부전동,부전동 올리브,부전동 올리브 051-8095946,
182,원푸드,기타,051-9104066,부산광역시 부산진구 전포동 891-38번지 외2번지,"부산광역시 부산진구 동천로 4 (전포동,외2번지)",388095.0974,185326.1925,영업/정상,,부산진구,전포동,전포동 원푸드,전포동 원푸드 051-9104066,
183,항아리보쌈,한식,,부산광역시 부산진구 부전동 519-15번지,"부산광역시 부산진구 가야대로784번길 56-4, 1층 (부전동)",387365.806,185925.44,영업/정상,,부산진구,부전동,부전동 항아리보쌈,부전동 항아리보쌈 ,
184,일미국수,한식,051-808-3435,부산광역시 부산진구 초읍동 272-18번지,부산광역시 부산진구 초읍천로108번길 84 (초읍동),386415.7138,188446.6364,영업/정상,,부산진구,초읍동,초읍동 일미국수,초읍동 일미국수 051-808-3435,
185,썬더치킨부암2호점,한식,051-8083300,부산광역시 부산진구 부암동 297-4번지,부산광역시 부산진구 동평로 145 (부암동),386276.4105,187131.176,영업/정상,,부산진구,부암동,부암동 썬더치킨부암2호점,부암동 썬더치킨부암2호점 051-8083300,
186,부싯돌,한식,051-8055352,부산광역시 부산진구 부전동 396-10,부산광역시 부산진구 새싹로 16-1 (부전동),387446.2493,186419.4242,영업/정상,,부산진구,부전동,부전동 부싯돌,부전동 부싯돌 051-8055352,
187,진주식당,한식,,부산광역시 부산진구 범천동 845-70번지,부산광역시 부산진구 중앙번영로20번길 42 (범천동),387772.1384,184585.5411,영업/정상,,부산진구,범천동,범천동 진주식당,범천동 진주식당 ,
188,옥정식당,한식,051-8960456,부산광역시 부산진구 개금동 462-24번지,부산광역시 부산진구 백양대로 305 (개금동),383828.5374,185752.6926,영업/정상,,부산진구,개금동,개금동 옥정식당,개금동 옥정식당 051-8960456,
189,수다벅스(SUDABUGS),기타,7073639292,부산광역시 부산진구 개금동 53-6번지 주공일반상가 53-4호,"부산광역시 부산진구 백양관문로 25-9 (개금동,주공일반상가 53-4호)",384938.4826,186558.3484,영업/정상,,부산진구,개금동,개금동 수다벅스(SUDABUGS),개금동 수다벅스(SUDABUGS) 07073639292,
190,장안식당,한식,051-8049291,부산광역시 부산진구 초읍동 177-2번지,부산광역시 부산진구 성지로 117 (초읍동),386771.3888,188707.0954,영업/정상,,부산진구,초읍동,초읍동 장안식당,초읍동 장안식당 051-8049291,
191,경주박가국밥,한식,051-807-6687,부산광역시 부산진구 부전동 255-10,부산광역시 부산진구 서면로68번길 21 (부전동),387501.3333,186030.9242,영업/정상,,부산진구,부전동,부전동 경주박가국밥,부전동 경주박가국밥 051-807-6687,
192,미진축산(신주례점),기타,,부산광역시 부산진구 개금동 447-37 (1층),"부산광역시 부산진구 백양대로 317, 1층 (개금동)",383718.6895,185718.8827,영업/정상,,부산진구,개금동,개금동 미진축산(신주례점),개금동 미진축산(신주례점) ,
193,미락원,한식,051-6365756,부산광역시 부산진구 범천동 846-6번지,"부산광역시 부산진구 범일로 150-5, 1층 (범천동)",387634.5757,184643.8112,영업/정상,,부산진구,범천동,범천동 미락원,범천동 미락원 051-6365756,
194,더꼬치다,기타,051-8053222,부산광역시 부산진구 부암동 303-6,"부산광역시 부산진구 신천대로 275, 1층 (부암동)",386670.2298,187204.9318,영업/정상,,부산진구,부암동,부암동 더꼬치다,부암동 더꼬치다 051-8053222,
195,가마골추어탕,한식,051-8916266,부산광역시 부산진구 가야동 506-8,부산광역시 부산진구 가야공원로 57 (가야동),384942.213,185112.0141,영업/정상,,부산진구,가야동,가야동 가마골추어탕,가야동 가마골추어탕 051-8916266,
196,김가네,분식,051-8030830,부산광역시 부산진구 부암동 80-23번지,부산광역시 부산진구 시민공원로19번길 38-14 (부암동),386908.0689,186998.7212,영업/정상,,부산진구,부암동,부암동 김가네,부암동 김가네 051-8030830,
197,오스테리아라치베타,"외국음식전문점(인도,태국등)",051819-6190,부산광역시 부산진구 부전동 516-73번지 (1층),"부산광역시 부산진구 가야대로784번길 46-6, 1층 (부전동)",387353.9566,185970.8351,영업/정상,,부산진구,부전동,부전동 오스테리아라치베타,부전동 오스테리아라치베타 051819-6190,
198,육미작렬,한식,051-911-3237,부산광역시 부산진구 연지동 41-1번지 (1층),"부산광역시 부산진구 성지로8번길 46 (연지동,(1층))",387459.9697,187799.0245,영업/정상,,부산진구,연지동,연지동 육미작렬,연지동 육미작렬 051-911-3237,
199,불백 한잔,중국식,051-8614226,부산광역시 부산진구 양정동 254-7,부산광역시 부산진구 거제천로40번길 3 (양정동),388682.4262,188511.1456,영업/정상,,부산진구,양정동,양정동 불백 한잔,양정동 불백 한잔 051-8614226,
200,칠국관,중국식,051-8631572,부산광역시 부산진구 양정동 362-27번지,부산광역시 부산진구 양지로5번길 14 (양정동),388521.821,187625.9663,영업/정상,,부산진구,양정동,양정동 칠국관,양정동 칠국관 051-8631572,
201,일품장원돼지국밥,한식,051-809-8887,부산광역시 부산진구 부전동 403-25,부산광역시 부산진구 서면문화로 34 (부전동),387257.4251,186497.7221,영업/정상,,부산진구,부전동,부전동 일품장원돼지국밥,부전동 일품장원돼지국밥 051-809-8887,
202,토모가,한식,,부산광역시 부산진구 양정동 216 뉴하이엘오피스텔,"부산광역시 부산진구 중앙대로979번길 6, 뉴하이엘오피스텔 1층 102호 (양정동)",388857.4994,188400.2002,영업/정상,,부산진구,양정동,양정동 토모가,양정동 토모가 ,
203,부산양곱창6호,한식,,부산광역시 부산진구 부전동 520-2,"부산광역시 부산진구 가야대로784번길 62, 1층 (부전동)",387363.7876,185889.7781,영업/정상,,부산진구,부전동,부전동 부산양곱창6호,부전동 부산양곱창6호 ,
204,부산양곱창3호,한식,,부산광역시 부산진구 부전동 520-2,"부산광역시 부산진구 가야대로784번길 62, 1층 (부전동)",387363.7876,185889.7781,영업/정상,,부산진구,부전동,부전동 부산양곱창3호,부전동 부산양곱창3호 ,
205,부산양곱창5호,한식,,부산광역시 부산진구 부전동 520-2,"부산광역시 부산진구 가야대로784번길 62, 1층 (부전동)",387363.7876,185889.7781,영업/정상,,부산진구,부전동,부전동 부산양곱창5호,부전동 부산양곱창5호 ,
206,부산양곱창2호,식육(숯불구이),051-818-0369,부산광역시 부산진구 부전동 520-2,부산광역시 부산진구 가야대로784번길 62 (부전동),387363.7876,185889.7781,영업/정상,,부산진구,부전동,부전동 부산양곱창2호,부전동 부산양곱창2호 051-818-0369,
207,부산양곱창7호,한식,,부산광역시 부산진구 부전동 520-2,"부산광역시 부산진구 가야대로784번길 62, 1층 (부전동)",387363.7876,185889.7781,영업/정상,,부산진구,부전동,부전동 부산양곱창7호,부전동 부산양곱창7호 ,
208,(주)게이트에프앤비 부산본점,"외국음식전문점(인도,태국등)",051-802-3331,부산광역시 부산진구 부전동 503-15 롯데백화점부산본점,"부산광역시 부산진구 가야대로 772, 롯데백화점부산본점 9층 (부전동)",387271.2995,186099.1375,영업/정상,,부산진구,부전동,부전동 (주)게이트에프앤비 부산본점,부전동 (주)게이트에프앤비 부산본점 051-802-3331,
209,스위디(sweetie),분식,,부산광역시 부산진구 부전동 150-1,"부산광역시 부산진구 서전로 18-1, 2층 (부전동)",387786.8029,186213.8213,영업/정상,,부산진구,부전동,부전동 스위디(sweetie),부전동 스위디(sweetie) ,
210,룸스타그램,기타,,부산광역시 부산진구 부전동 217-1,"부산광역시 부산진구 중앙대로692번길 38, 3층 (부전동)",387752.5476,185839.3339,영업/정상,,부산진구,부전동,부전동 룸스타그램,부전동 룸스타그램 ,
211,숯불에닭 부산서면점,호프/통닭,,부산광역시 부산진구 부전동 130-5,"부산광역시 부산진구 서전로9번길 27, 1층 (부전동)",387711.3259,186381.3537,영업/정상,,부산진구,부전동,부전동 숯불에닭 부산서면점,부전동 숯불에닭 부산서면점 ,
212,맥시티타코,"외국음식전문점(인도,태국등)",051-711-7244,부산광역시 부산진구 전포동 233-2,"부산광역시 부산진구 동성로61번길 11, 1층 (전포동)",388354.73,186015.0783,영업/정상,,부산진구,전포동,전포동 맥시티타코,전포동 맥시티타코 051-711-7244,
213,설야멱 서면직영점,식육(숯불구이),,부산광역시 부산진구 전포동 667-14,"부산광역시 부산진구 서전로 27, 2층 (전포동)",387886.0184,186258.1285,영업/정상,,부산진구,전포동,전포동 설야멱 서면직영점,전포동 설야멱 서면직영점 ,
