,사업장명,업태구분명,소재지전화,소재지전체주소,도로명전체주소,좌표정보(x),좌표정보(y),영업상태명,naver_map_url,구,동,검색어,검색어2
102,(주)수장례식장,한식,0518531034,부산광역시 부산진구 양정동 320-3,"부산광역시 부산진구 동평로 401, 지하2층 (양정동, 수요양병원)",388418.982637727,188078.306325796,영업/정상,,부산진구,양정동,양정동 (주)수장례식장,양정동 (주)수장례식장 0518531034
103,엄마손보리밥,한식,051-8039932,부산광역시 부산진구 초읍동 272-4번지 지상1층전부,"부산광역시 부산진구 초읍천로 60 (초읍동, 지상1층전부)",386409.982969154,188422.755001515,영업/정상,,부산진구,초읍동,초읍동 엄마손보리밥,초읍동 엄마손보리밥 051-8039932
104,가득,분식,,부산광역시 부산진구 양정동 257-18,"부산광역시 부산진구 거제천로40번길 18, 1층 (양정동)",388729.898340982,188553.482839065,영업/정상,,부산진구,양정동,양정동 가득,양정동 가득 
105,정동진해물탕해물찜,기타,051-8098208,"부산광역시 부산진구 부전동 406-14 외1필지, 지상2~3층","부산광역시 부산진구 서면문화로 37 (부전동, 정동진해물탕2~3층)",387209.099885184,186520.51238939,영업/정상,,부산진구,부전동,부전동 정동진해물탕해물찜,부전동 정동진해물탕해물찜 051-8098208
106,동방축산 개금백병원점,기타,,부산광역시 부산진구 개금동 540-51 다온미즈102호,"부산광역시 부산진구 복지로 57 (개금동, 다온미즈102호)",384081.538687718,185067.440279965,영업/정상,,부산진구,개금동,개금동 동방축산 개금백병원점,개금동 동방축산 개금백병원점 
107,핑퐁커피서면직영점,기타,051-802-2155,부산광역시 부산진구 부전동 220-1,"부산광역시 부산진구 중앙대로680번길 45-9, 1층 (부전동)",387788.831427452,185803.818134479,영업/정상,,부산진구,부전동,부전동 핑퐁커피서면직영점,부전동 핑퐁커피서면직영점 051-802-2155
108,혜동식당,한식,07049649086,부산광역시 부산진구 범천동 871-20번지,"부산광역시 부산진구 신천대로71번길 39, 1,2,3층 (범천동)",387447.337373168,185107.914936211,영업/정상,,부산진구,범천동,범천동 혜동식당,범천동 혜동식당 07049649086
109,이십오센치,한식,,부산광역시 부산진구 부전동 168-368 지상1층,"부산광역시 부산진구 동천로95번길 15, 지상1층 (부전동)",387754.823105761,186159.896514587,영업/정상,,부산진구,부전동,부전동 이십오센치,부전동 이십오센치 
110,도야족발보쌈 가야점,한식,051-898-2005,부산광역시 부산진구 가야동 600-1,"부산광역시 부산진구 가야공원로38번길 8, 1층 (가야동)",384866.589376136,185324.254647962,영업/정상,,부산진구,가야동,가야동 도야족발보쌈 가야점,가야동 도야족발보쌈 가야점 051-898-2005
111,윙(whyn),기타,051-801-9978,부산광역시 부산진구 부전동 233-16,"부산광역시 부산진구 서면로 20, 4층 (부전동, 베스트웨스턴UL부산호텔)",387479.399412989,185623.856661782,영업/정상,,부산진구,부전동,부전동 윙(whyn),부전동 윙(whyn) 051-801-9978
112,비빔가,한식,,부산광역시 부산진구 전포동 668-1,"부산광역시 부산진구 동천로 92, 6층 (전포동, 엔씨)",387920.292113406,186157.316240541,영업/정상,,부산진구,전포동,전포동 비빔가,전포동 비빔가 
113,만권화밥서면NC점,한식,,부산광역시 부산진구 전포동 668-1,"부산광역시 부산진구 동천로 92, 6층 (전포동, 엔씨)",387920.292113406,186157.316240541,영업/정상,,부산진구,전포동,전포동 만권화밥서면NC점,전포동 만권화밥서면NC점 
114,어썸,호프/통닭,051-806-5606,부산광역시 부산진구 부전동 232-15 지하1층,"부산광역시 부산진구 신천대로62번길 46, 지하1층 (부전동)",387514.9442072,185679.57099674,영업/정상,,부산진구,부전동,부전동 어썸,부전동 어썸 051-806-5606
115,더블루베이커리(The blue bakery),한식,051-9367942,부산광역시 부산진구 전포동 172-2,"부산광역시 부산진구 동성로118번길 29, 1층 (전포동)",388166.426663126,186655.757162946,영업/정상,,부산진구,전포동,전포동 더블루베이커리(The blue bakery),전포동 더블루베이커리(The blue bakery) 051-9367942
116,비비큐가야대로점,호프/통닭,,부산광역시 부산진구 가야동 454-59,"부산광역시 부산진구 가야대로552번길 111, 1층 (가야동)",385275.031780767,185213.844806656,영업/정상,,부산진구,가야동,가야동 비비큐가야대로점,가야동 비비큐가야대로점 
117,노르웨이식당,기타,,부산광역시 부산진구 부전동 102-1번지 지상2층전부,"부산광역시 부산진구 동천로 117 (부전동, 지상2층전부)",387823.225399076,186402.69058778,영업/정상,,부산진구,부전동,부전동 노르웨이식당,부전동 노르웨이식당 
118,진수,기타,,부산광역시 부산진구 전포동 662-6 지상1층,"부산광역시 부산진구 동천로108번길 11, 지상1층 (전포동)",387920.212691575,186317.357541643,영업/정상,,부산진구,전포동,전포동 진수,전포동 진수 
119,고향양꼬치,식육(숯불구이),,부산광역시 부산진구 당감동 760-5 지상1층,"부산광역시 부산진구 당감서로 99-1, 지상1층 (당감동)",385382.892498486,187359.296276124,영업/정상,,부산진구,당감동,당감동 고향양꼬치,당감동 고향양꼬치 
120,트롤비즈 부산전포,경양식,,부산광역시 부산진구 전포동 687-17,"부산광역시 부산진구 전포대로209번길 19, 1층 101호 (전포동, 정원빌딩)",388017.026737238,185963.371527889,영업/정상,,부산진구,전포동,전포동 트롤비즈 부산전포,전포동 트롤비즈 부산전포 
121,시골식당,한식,051-8065980,부산광역시 부산진구 부전동 347-59번지 지상1층일부,"부산광역시 부산진구 부전로162번길 19 (부전동, 지상1층일부)",387571.25249053,186690.856212774,영업/정상,,부산진구,부전동,부전동 시골식당,부전동 시골식당 051-8065980
122,파더스,통닭(치킨),,부산광역시 부산진구 범천동 871-1번지 강진융프라우 103호,"부산광역시 부산진구 중앙대로621번길 25, 103호 (범천동, 강진융프라우)",387456.783591124,185146.630232439,영업/정상,,부산진구,범천동,범천동 파더스,범천동 파더스 
123,그녀의베이킹스튜디오,경양식,,부산광역시 부산진구 연지동 273-9번지,"부산광역시 부산진구 국악로 38, 1층 (연지동)",386906.325634373,187941.244169306,영업/정상,,부산진구,연지동,연지동 그녀의베이킹스튜디오,연지동 그녀의베이킹스튜디오 
124,미락정,경양식,,부산광역시 부산진구 부전동 264-13,"부산광역시 부산진구 새싹로14번길 29, 2층 (부전동)",387529.698724102,186510.409313082,영업/정상,,부산진구,부전동,부전동 미락정,부전동 미락정 
125,숙성명가 또돈,통닭(치킨),,부산광역시 부산진구 범천동 846-2,"부산광역시 부산진구 범일로154번길 8, 1층 (범천동)",387642.705183344,184656.191511185,영업/정상,,부산진구,범천동,범천동 숙성명가 또돈,범천동 숙성명가 또돈 
126,아이비,한식,051-805-5678,"부산광역시 부산진구 부전동 522-28번지 외 1필지(522-27) 지하1층, IB호텔","부산광역시 부산진구 서면로 15-14, 지하1층 (부전동, IB호텔)",387397.172370015,185612.604793325,영업/정상,,부산진구,부전동,부전동 아이비,부전동 아이비 051-805-5678
127,금의환양,일식,051-8041218,부산광역시 부산진구 전포동 878-26,"부산광역시 부산진구 동천로 134, 1층 101-2호 (전포동, 삼정코아)",387862.531480103,186574.014760406,영업/정상,https://pcmap.place.naver.com/restaurant/1343692047/review/visitor#,부산진구,전포동,전포동 금의환양,전포동 금의환양 051-8041218
128,골목,통닭(치킨),051-804-9892,부산광역시 부산진구 부전동 168-270번지 지상1층,"부산광역시 부산진구 동천로85번길 33, 지상1층 (부전동)",387672.754317894,186094.90973991,영업/정상,,부산진구,부전동,부전동 골목,부전동 골목 051-804-9892
129,힘찬 민물장어,식육(숯불구이),051-8659289,부산광역시 부산진구 양정동 147-11번지,"부산광역시 부산진구 중앙대로 984, 2일부,3,4,5층 (양정동)",388929.57435459,188387.127270225,영업/정상,,부산진구,양정동,양정동 힘찬 민물장어,양정동 힘찬 민물장어 051-8659289
130,종가집칼국수,분식,,부산광역시 부산진구 범천동 845 6외1필지,"부산광역시 부산진구 범일로154번길 28, 1층 (범천동)",387749.616712958,184666.41268782,영업/정상,https://pcmap.place.naver.com/restaurant/16780013/review/visitor#,부산진구,범천동,범천동 종가집칼국수,범천동 종가집칼국수 
131,홍포장마차,기타,,부산광역시 부산진구 부전동 351-15번지 지상1층일부,"부산광역시 부산진구 부전로152번길 37 (부전동, 지상1층일부)",387470.585266871,186539.870504411,영업/정상,https://pcmap.place.naver.com/restaurant/1711199902/review/visitor#,부산진구,부전동,부전동 홍포장마차,부전동 홍포장마차 
132,더만족 서면점,기타,051-8049288,부산광역시 부산진구 부전동 94-3,"부산광역시 부산진구 서전로9번길 47, 1층 (부전동)",387763.050130058,186454.393025663,영업/정상,,부산진구,부전동,부전동 더만족 서면점,부전동 더만족 서면점 051-8049288
133,대공원칼국수&수제비,식육(숯불구이),051-8043307,부산광역시 부산진구 초읍동 304-2번지,"부산광역시 부산진구 성지곡로 11, 1층 (초읍동)",386412.963603281,189054.20558659,영업/정상,https://pcmap.place.naver.com/restaurant/1037778017/review/visitor#,부산진구,초읍동,초읍동 대공원칼국수&수제비,초읍동 대공원칼국수&수제비 051-8043307
134,바다산장어구이,기타,051-8161011,부산광역시 부산진구 부전동 344-9번지 지상1층일부,"부산광역시 부산진구 부전로 178-1 (부전동, 지상1층일부)",387660.67586405,186841.289775107,영업/정상,,부산진구,부전동,부전동 바다산장어구이,부전동 바다산장어구이 051-8161011
135,연지곤지한우식육식당,식육(숯불구이),051-8094255,"부산광역시 부산진구 연지동 7-1번지 외1필지, 지상2층전부","부산광역시 부산진구 성지로 60 (연지동, 지상2층전부)",387125.398840595,188245.406610921,영업/정상,,부산진구,연지동,연지동 연지곤지한우식육식당,연지동 연지곤지한우식육식당 051-8094255
136,감동까스,호프/통닭,051-8029278,부산광역시 부산진구 전포동 175-19,"부산광역시 부산진구 전포대로276번길 19, 1층 (전포동)",388225.168565561,186643.691095221,영업/정상,,부산진구,전포동,전포동 감동까스,전포동 감동까스 051-8029278
137,정원,호프/통닭,,부산광역시 부산진구 개금동 197-5 성원상떼뷰상가 2층207호,"부산광역시 부산진구 개금온정로 5 (개금동, 성원상떼뷰상가 2층207호)",384430.630690869,185721.876196787,영업/정상,,부산진구,개금동,개금동 정원,개금동 정원 
138,25카츠,경양식,,부산광역시 부산진구 전포동 668-1,"부산광역시 부산진구 동천로 92, 6층 (전포동, 엔씨)",387920.292113406,186157.316240541,영업/정상,,부산진구,전포동,전포동 25카츠,전포동 25카츠 
139,(주)양산도에프엔비,일식,,부산광역시 부산진구 전포동 668-1,"부산광역시 부산진구 동천로 92, 1층 (전포동, 엔씨)",387920.292113406,186157.316240541,영업/정상,,부산진구,전포동,전포동 (주)양산도에프엔비,전포동 (주)양산도에프엔비 
140,남다른썬치킨 전포2호점,통닭(치킨),,부산광역시 부산진구 전포동 875-2,"부산광역시 부산진구 전포대로275번길 53, 1층 (전포동)",387938.406326008,186768.185634003,영업/정상,,부산진구,전포동,전포동 남다른썬치킨 전포2호점,전포동 남다른썬치킨 전포2호점 
141,미니네손만두,기타,051-3389556,부산광역시 부산진구 부전동 265-1번지 지상1층일부,"부산광역시 부산진구 중앙대로755번길 13 (부전동, 지상1층일부)",387624.438548764,186495.162785768,영업/정상,,부산진구,부전동,부전동 미니네손만두,부전동 미니네손만두 051-3389556
142,보배호떡,한식,051-803-2252,"부산광역시 부산진구 부전동 256-6 외 1필지(256-14), 지상1층","부산광역시 부산진구 서면로 56, 지상1층 (부전동)",387468.48013598,185990.346086723,영업/정상,https://pcmap.place.naver.com/restaurant/1759237217/review/visitor#,부산진구,부전동,부전동 보배호떡,부전동 보배호떡 051-803-2252
143,주식회사 엠지엠펍,기타,051-8034557,"부산광역시 부산진구 부전동 233-16 지상3층, 베스트웨스턴호텔","부산광역시 부산진구 서면로 20, 지상3층 (부전동, 베스트웨스턴호텔)",387479.399412989,185623.856661782,영업/정상,,부산진구,부전동,부전동 주식회사 엠지엠펍,부전동 주식회사 엠지엠펍 051-8034557
144,처제분식,분식,,부산광역시 부산진구 전포동 685-10,"부산광역시 부산진구 서전로38번길 66, 1층 102호 (전포동)",387982.33865494,185903.328261664,영업/정상,https://pcmap.place.naver.com/restaurant/1964260105/review/visitor#,부산진구,전포동,전포동 처제분식,전포동 처제분식 
145,그때만난순필씨,기타,,부산광역시 부산진구 연지동 31-4,"부산광역시 부산진구 성지로 36, 1층 (연지동)",387144.527531993,188006.140202493,영업/정상,https://pcmap.place.naver.com/restaurant/1195390551/review/visitor#,부산진구,연지동,연지동 그때만난순필씨,연지동 그때만난순필씨 
146,쭉꿈미,한식,051-8160404,부산광역시 부산진구 부전동 466-25 지상1층일부,"부산광역시 부산진구 가야대로755번길 6 (부전동, 지상1층일부)",387111.185464945,186244.322551299,영업/정상,,부산진구,부전동,부전동 쭉꿈미,부전동 쭉꿈미 051-8160404
147,냉삼골목집,한식,051-8162332,부산광역시 부산진구 부전동 93-9,"부산광역시 부산진구 서전로9번길 57-1, 1,2층 (부전동)",387783.941543079,186504.401445958,영업/정상,,부산진구,부전동,부전동 냉삼골목집,부전동 냉삼골목집 051-8162332
148,할매손충무김밥 스퀘어점,한식,,부산광역시 부산진구 부전동 537-9 더샵 센트럴스타,"부산광역시 부산진구 중앙대로666번길 50, 상가동 지하2층 비207호 (부전동, 더샵 센트럴스타)",387748.383011444,185533.437357236,영업/정상,https://pcmap.place.naver.com/restaurant/1952558070/review/visitor#,부산진구,부전동,부전동 할매손충무김밥 스퀘어점,부전동 할매손충무김밥 스퀘어점 
149,후쿠오카함바그 NC 서면점,기타,,부산광역시 부산진구 전포동 668-1번지 NC백화점6층,"부산광역시 부산진구 동천로 92 (전포동, NC백화점6층 )",387920.292113406,186157.316240541,영업/정상,,부산진구,전포동,전포동 후쿠오카함바그 NC 서면점,전포동 후쿠오카함바그 NC 서면점 
150,부산비즈니스호텔,한식,051-808-2000,"부산광역시 부산진구 부전동 512-4번지 외 3필지(512-5, 512-6, 512-19), 지상2층 부산비즈니스호텔","부산광역시 부산진구 부전로 67, 지상2층 (부전동, 부산비즈니스호텔)",387138.186862821,186037.533271738,영업/정상,,부산진구,부전동,부전동 부산비즈니스호텔,부전동 부산비즈니스호텔 051-808-2000
151,청룡 맥주,호프/통닭,,부산광역시 부산진구 범천동 844-65 지상1층,"부산광역시 부산진구 골드테마길 66, 지상1층 (범천동)",387676.118972071,184772.246707586,영업/정상,https://pcmap.place.naver.com/restaurant/1277073182/review/visitor#,부산진구,범천동,범천동 청룡 맥주,범천동 청룡 맥주 
152,오늘김해뒷고기,식육(숯불구이),,부산광역시 부산진구 부전동 168-428번지,"부산광역시 부산진구 동천로85번길 16, 1,2층 (부전동)",387766.424165285,186077.293427099,영업/정상,,부산진구,부전동,부전동 오늘김해뒷고기,부전동 오늘김해뒷고기 
153,도쿄그집,일식,,부산광역시 부산진구 전포동 687-15번지,"부산광역시 부산진구 전포대로209번길 17-7, 2,3층 (전포동)",388032.971006571,185935.636067691,영업/정상,,부산진구,전포동,전포동 도쿄그집,전포동 도쿄그집 
154,수라 반점,한식,051-892-0808,부산광역시 부산진구 가야동 478,"부산광역시 부산진구 엄광로 143, 2층 (가야동)",384986.176779094,185058.669980528,영업/정상,https://pcmap.place.naver.com/restaurant/1918817580/review/visitor#,부산진구,가야동,가야동 수라 반점,가야동 수라 반점 051-892-0808
155,소문난돼지국밥,한식,,부산광역시 부산진구 부전동 242-32 지상1층일부,"부산광역시 부산진구 서면로68번길 38, 1층 (부전동)",387476.760702088,185944.931555581,영업/정상,,부산진구,부전동,부전동 소문난돼지국밥,부전동 소문난돼지국밥 
156,삼정식당,한식,,부산광역시 부산진구 초읍동 271-6 지상1층일부,"부산광역시 부산진구 새싹로 207-6, 1층 (초읍동)",386533.591131652,188097.175422349,영업/정상,https://pcmap.place.naver.com/restaurant/1506280374/review/visitor#,부산진구,초읍동,초읍동 삼정식당,초읍동 삼정식당 
157,교촌치킨가야점,한식,051-891-4703,부산광역시 부산진구 가야동 478번지,"부산광역시 부산진구 엄광로 143, 2층 (가야동)",384986.176779094,185058.669980528,영업/정상,,부산진구,가야동,가야동 교촌치킨가야점,가야동 교촌치킨가야점 051-891-4703
158,원조옛날통닭개금백병원점,호프/통닭,051-8980399,부산광역시 부산진구 개금동 527-198 (지상1층),"부산광역시 부산진구 엄광로 31 (개금동, (지상1층))",383972.637285457,185107.274354083,영업/정상,https://pcmap.place.naver.com/restaurant/1732269725/review/visitor#,부산진구,개금동,개금동 원조옛날통닭개금백병원점,개금동 원조옛날통닭개금백병원점 051-8980399
159,모란국수,분식,,부산광역시 부산진구 연지동 45-5번지 지상1층전체,"부산광역시 부산진구 성지로8번길 11, 1층 (연지동)",387293.280584932,187772.053446252,영업/정상,https://pcmap.place.naver.com/restaurant/34667705/review/visitor#,부산진구,연지동,연지동 모란국수,연지동 모란국수 
160,(주)시민장례식장,기타,051-636-4444,부산광역시 부산진구 범천동 839-19번지 지하1층,"부산광역시 부산진구 자유평화로 31, 지하1층 (범천동)",387976.017573441,184457.79996807,영업/정상,,부산진구,범천동,범천동 (주)시민장례식장,범천동 (주)시민장례식장 051-636-4444
161,가부키초,식육(숯불구이),,부산광역시 부산진구 부전동 168-120번지 지상1층,"부산광역시 부산진구 동천로85번길 31-10, 지상1층 (부전동)",387676.173559119,186063.643106912,영업/정상,https://pcmap.place.naver.com/restaurant/45480904/review/visitor#,부산진구,부전동,부전동 가부키초,부전동 가부키초 
162,서면고기집,기타,051-8025159,부산광역시 부산진구 부전동 188-2번지,"부산광역시 부산진구 중앙대로680번가길 33-9, 1층 (부전동)",387660.333915067,185905.033929907,영업/정상,,부산진구,부전동,부전동 서면고기집,부전동 서면고기집 051-8025159
163,요코하마,한식,,부산광역시 부산진구 부전동 264-13번지 지상1층일부,"부산광역시 부산진구 새싹로14번길 29 (부전동, 지상1층일부)",387529.698724102,186510.409313082,영업/정상,,부산진구,부전동,부전동 요코하마,부전동 요코하마 
164,빈프레임,"외국음식전문점(인도,태국등)",,부산광역시 부산진구 전포동 685-10,"부산광역시 부산진구 서전로38번길 66, 1층 (전포동)",387982.33865494,185903.328261664,영업/정상,https://pcmap.place.naver.com/restaurant/1740117767/review/visitor#,부산진구,전포동,전포동 빈프레임,전포동 빈프레임 
165,666버거,호프/통닭,07088620037,부산광역시 부산진구 전포동 193-38,"부산광역시 부산진구 전포대로256번길 7, 1층 (전포동)",388170.327126509,186433.535564796,영업/정상,https://pcmap.place.naver.com/restaurant/1946856556/review/visitor#,부산진구,전포동,전포동 666버거,전포동 666버거 07088620037
166,구이마을,기타,051-8030320,부산광역시 부산진구 전포동 657-12번지,"부산광역시 부산진구 동천로132번길 30, 1층 (전포동)",387966.08658756,186526.084769434,영업/정상,https://pcmap.place.naver.com/restaurant/1778083071/review/visitor#,부산진구,전포동,전포동 구이마을,전포동 구이마을 051-8030320
167,제주맛순대서면점,기타,051-804-2555,부산광역시 부산진구 부전동 521-22,"부산광역시 부산진구 서면로 31, 1층 (부전동)",387418.523565167,185756.921895913,영업/정상,,부산진구,부전동,부전동 제주맛순대서면점,부전동 제주맛순대서면점 051-804-2555
168,거북이동네 부산서면점,호프/통닭,051-818-9997,부산광역시 부산진구 부전동 222-3 지상1층,"부산광역시 부산진구 동천로 61, 지상1층 (부전동)",387833.78819806,185834.672489842,영업/정상,,부산진구,부전동,부전동 거북이동네 부산서면점,부전동 거북이동네 부산서면점 051-818-9997
169,한방칼국수,분식,051-868-6643,부산광역시 부산진구 양정동 263-10번지,"부산광역시 부산진구 중앙대로969번길 12-11, 1층 (양정동)",388788.623635426,188344.77599745,영업/정상,,부산진구,양정동,양정동 한방칼국수,양정동 한방칼국수 051-868-6643
170,톡톡,한식,070-87318286,부산광역시 부산진구 개금동 218-3번지 (1층),"부산광역시 부산진구 백양대로 260, 1층 (개금동)",384228.649377821,185955.390308449,영업/정상,,부산진구,개금동,개금동 톡톡,개금동 톡톡 070-87318286
171,칼있으마손칼국수 서면점,한식,051-817-4909,부산광역시 부산진구 부전동 417-17,"부산광역시 부산진구 부전로111번길 9, 1층 (부전동)",387100.992814228,186446.753343396,영업/정상,https://pcmap.place.naver.com/restaurant/1183817399/review/visitor#,부산진구,부전동,부전동 칼있으마손칼국수 서면점,부전동 칼있으마손칼국수 서면점 051-817-4909
172,정직유부 서면롯데점,기타,051-817-8582,부산광역시 부산진구 부전동 490-12,"부산광역시 부산진구 서면로 71, 지상1층 (부전동)",387410.484653005,186156.670363159,영업/정상,,부산진구,부전동,부전동 정직유부 서면롯데점,부전동 정직유부 서면롯데점 051-817-8582
173,소나무브런치카페,기타,,부산광역시 부산진구 부암동 334-12,"부산광역시 부산진구 동평로 125, 1층 (부암동)",386078.772576252,187164.72242133,영업/정상,,부산진구,부암동,부암동 소나무브런치카페,부암동 소나무브런치카페 
174,딸랑닭발,호프/통닭,,부산광역시 부산진구 전포동 198-31번지,"부산광역시 부산진구 서전로67번길 30, 지상1층 (전포동)",388293.734723321,186394.495614998,영업/정상,https://pcmap.place.naver.com/restaurant/1272042406/review/visitor#,부산진구,전포동,전포동 딸랑닭발,전포동 딸랑닭발 
175,교동 전선생,기타,,부산광역시 부산진구 부전동 524-37번지,"부산광역시 부산진구 부전로 42, 1층 (부전동)",387264.908198707,185811.146745716,영업/정상,https://pcmap.place.naver.com/restaurant/21908713/review/visitor#,부산진구,부전동,부전동 교동 전선생,부전동 교동 전선생 
176,우럭만공격,횟집,,부산광역시 부산진구 초읍동 271-4번지 선경성지곡아파트9동106호(지상1층),"부산광역시 부산진구 새싹로 215 (초읍동, 선경성지곡아파트9동106호(지상1층))",386474.243582914,188216.799854005,영업/정상,,부산진구,초읍동,초읍동 우럭만공격,초읍동 우럭만공격 
177,엄마손식당,한식,,부산광역시 부산진구 부전동 256-6번지,"부산광역시 부산진구 서면로 56, 1층 자26,27호 (부전동, 서면시장)",387468.48013598,185990.346086723,영업/정상,,부산진구,부전동,부전동 엄마손식당,부전동 엄마손식당 
178,이자카야 숲,분식,051-809-5996,부산광역시 부산진구 초읍동 273-32 1층,"부산광역시 부산진구 새싹로 249, 1층 (초읍동)",386464.935762975,188484.104023208,영업/정상,,부산진구,초읍동,초읍동 이자카야 숲,초읍동 이자카야 숲 051-809-5996
179,온전골,한식,,부산광역시 부산진구 부전동 168-390,"부산광역시 부산진구 중앙대로680번가길 80-10, 지상2-3층 (부전동)",387752.744978685,186118.177372145,영업/정상,,부산진구,부전동,부전동 온전골,부전동 온전골 
180,배뽈구이,기타,051-8187175,부산광역시 부산진구 부암동 410-1,"부산광역시 부산진구 백양순환로 135, 지상1층 (부암동)",385871.226406689,187409.581124648,영업/정상,,부산진구,부암동,부암동 배뽈구이,부암동 배뽈구이 051-8187175
181,도희,한식,051-981-8891,부산광역시 부산진구 가야동 484-28,"부산광역시 부산진구 엄광로 136, 1층 (가야동)",384887.029978808,185026.557031365,영업/정상,,부산진구,가야동,가야동 도희,가야동 도희 051-981-8891
182,플러스82커피 서면점,한식,051-8046699,부산광역시 부산진구 부전동 521-21,"부산광역시 부산진구 서면로 33, 1층 (부전동)",387418.126886949,185772.331213982,영업/정상,,부산진구,부전동,부전동 플러스82커피 서면점,부전동 플러스82커피 서면점 051-8046699
183,예그리나,한식,,부산광역시 부산진구 양정동 354-9번지 지하1층,"부산광역시 부산진구 양지로5번길 28, 지하1층 (양정동)",388554.792191686,187689.568854833,영업/정상,,부산진구,양정동,양정동 예그리나,양정동 예그리나 
184,부뚜막,분식,,부산광역시 부산진구 부전동 401-1번지,"부산광역시 부산진구 새싹로 41-1, 1층 (부전동)",387262.563667099,186601.011202638,영업/정상,,부산진구,부전동,부전동 부뚜막,부전동 부뚜막 
185,승승삼겹(시민공원부암점),한식,051-816-7756,부산광역시 부산진구 부암동 80-50번지 1층일부,"부산광역시 부산진구 새싹로 95 (부암동, 1층일부)",386955.906330578,187041.729636191,영업/정상,,부산진구,부암동,부암동 승승삼겹(시민공원부암점),부암동 승승삼겹(시민공원부암점) 051-816-7756
186,전포당,분식,051-807-9122,부산광역시 부산진구 전포동 686-3 외 1필지,"부산광역시 부산진구 전포대로199번길 12, 1층 (전포동)",388047.674674054,185896.313518949,영업/정상,,부산진구,전포동,전포동 전포당,전포동 전포당 051-807-9122
187,후일담,분식,,부산광역시 부산진구 전포동 673-5,"부산광역시 부산진구 서전로46번길 10-7, 2층 (전포동)",388041.989205122,186175.712386406,영업/정상,,부산진구,전포동,전포동 후일담,전포동 후일담 
188,라이온식당,한식,,부산광역시 부산진구 부전동 519-26번지,"부산광역시 부산진구 중앙대로691번가길 14-7, 2층 (부전동, 라이온호텔)",387288.233277047,185933.019098168,영업/정상,,부산진구,부전동,부전동 라이온식당,부전동 라이온식당 
189,밥맛나는집,한식,,부산광역시 부산진구 가야동 146-1번지 캘런어학원,"부산광역시 부산진구 가야대로510번길 21, 1층 (가야동)",384748.707016281,185561.630645655,영업/정상,,부산진구,가야동,가야동 밥맛나는집,가야동 밥맛나는집 
190,맛나,기타,,부산광역시 부산진구 가야동 454-2번지,"부산광역시 부산진구 대학로 65-1, 지상1층 (가야동)",385336.227653893,185311.321015634,영업/정상,,부산진구,가야동,가야동 맛나,가야동 맛나 
191,부전주택,한식,,부산광역시 부산진구 부전동 168-389번지,"부산광역시 부산진구 중앙대로680번가길 80-19, A동 1층 (부전동)",387806.373100186,186144.940518616,영업/정상,,부산진구,부전동,부전동 부전주택,부전동 부전주택 
192,청년식당,경양식,,부산광역시 부산진구 전포동 553-3,"부산광역시 부산진구 중앙대로824번길 3, 지상1층 (전포동)",388143.09075306,186990.451599642,영업/정상,,부산진구,전포동,전포동 청년식당,전포동 청년식당 
193,골목통닭,호프/통닭,051-8978295,부산광역시 부산진구 개금동 463-5번지,부산광역시 부산진구 백양대로357번길 107-20 (개금동),383839.846781965,185738.146473169,영업/정상,,부산진구,개금동,개금동 골목통닭,개금동 골목통닭 051-8978295
194,스콜,경양식,,부산광역시 부산진구 부전동 400-10,"부산광역시 부산진구 서면문화로 32, 3,4층 (부전동)",387294.655823663,186467.543899785,영업/정상,,부산진구,부전동,부전동 스콜,부전동 스콜 
195,갈비곳간,식육(숯불구이),,부산광역시 부산진구 부전동 400-10번지,"부산광역시 부산진구 서면문화로 32, 1,2층 (부전동)",387294.655823663,186467.543899785,영업/정상,,부산진구,부전동,부전동 갈비곳간,부전동 갈비곳간 
196,낭만장작 서면직영점,식육(숯불구이),,부산광역시 부산진구 부전동 168-146,"부산광역시 부산진구 서전로10번길 31-8, 1층 (부전동)",387649.440818528,186059.524694065,영업/정상,,부산진구,부전동,부전동 낭만장작 서면직영점,부전동 낭만장작 서면직영점 
197,도담치킨 서면점,호프/통닭,,부산광역시 부산진구 전포동 885-10번지,"부산광역시 부산진구 동천로 38, 지상3-4층 (전포동)",387877.198136374,185592.742002586,영업/정상,,부산진구,전포동,전포동 도담치킨 서면점,전포동 도담치킨 서면점 
198,숨비소리,식육(숯불구이),051-802-5454,"부산광역시 부산진구 부전동 524-17 외3필지, 지상1층","부산광역시 부산진구 중앙대로691번길 53, 지상1층 (부전동)",387294.343130674,185840.004433103,영업/정상,,부산진구,부전동,부전동 숨비소리,부전동 숨비소리 051-802-5454
199,반도분식,분식,051-898-1578,부산광역시 부산진구 개금동 21-2번지 (1층),"부산광역시 부산진구 개금본동로 39, 1층 (개금동)",384262.970001992,186302.809053194,영업/정상,,부산진구,개금동,개금동 반도분식,개금동 반도분식 051-898-1578
200,당감동맥주,한식,,부산광역시 부산진구 당감동 412-1번지 (1층),"부산광역시 부산진구 당감로45번길 23, 1층 (당감동)",385599.720939472,187061.499991198,영업/정상,,부산진구,당감동,당감동 당감동맥주,당감동 당감동맥주 
